1,hello,Привет
1,it,Оно
1,is,Является 
1,nice,Хороший; красивый
1,to,К (направление)
1,meet,Встретиться
1,you,Ты; Вы
1,too,Также
1,what,Что
1,your,Твое; Ваше
1,name,Имя
1,my,Моё
1,Kim,Ким (имя)
1,Jack,Джэк (имя)
2,where,Где
2,do,Делать
2,live,Жить
2,good,Хорошо
2,morning,Утро
2,evening,Вечер
2,thank,Спасибо
2,very,Очень
2,much,Много
2,thanks,Спасибо
2,a,(неопределенный артикль)
2,lot,"(nie ma takiego s?owa bez ""a"")"
2,a lot,Много
2,I,Я
3,in,В (место нахождения)
3,New York,Нью Йорк
3,usually,Обычно; как правило (привычка)
3,stay,Оставаться
3,Los Angeles,Лос Анджелес
3,but,Но
3,now,Сейчас
3,also,Также
3,how,Как 
3,old,Старый
3,are,Являются
3,I am,Я 
3,twenty,Двадцать
3,three,Три
4,years,Года
4,next,Следующий
4,month,Месяц
4,will,Буду 
4,be,Быть
4,two,Два
4,fine,Отлично
4,and,И
4,not,Не (отрицательный артикль)
4,so,Так
4,happened,Случилось
4,did,Делал
4,sleep,Спать
4,enough,Достаточно
5,last,Последний
5,night,Ночь
5,why,Почему
5,that,Что
5,really,Действительно; реально
5,know,Знать
5,feel,Чувствовать
5,sit,Сидеть
5,on,На 
5,the,(определенный артикль)
5,chair,Стул
5,bed,Кровать
5,stand,Стоять
5,room,Комната
6,listen,Слушать
6,music,Музика
6,watch,Смотреть
6,movie,Кино
6,work,Работать
6,garden,Сад
6,make,Делать
6,homework,Домашнее задание
6,read,Читать
6,book,Книга
6,hear,Слышать
6,sound,Звук
6,cold,Холодный
6,we,Мы
7,learn,Учиться
7,English,Английский
7,language,Язик
7,he,Он
7,looks,Смотрит
7,at,На; в; во
7,me,Меня; мне
7,father,Отец
7,eats,Кушает
7,food,Продукт
7,see,Видеть
7,cloud,Облако
7,sky,Небо
7,her,Её; ей
8,baby,Ребёнок
8,cries,Крики; плачет
8,she,Она
8,angry,Сердитый
8,with,С
8,want,Хотеть; хочу
8,go,Идти
8,home,Дом
8,cleans,Чистит
8,think,Думать
